"p.id","p.name","name","id","bytes","path"
370500,"0801 Seabird and marine mammals combined with CPR","Files",370501,989476,"/Files"
370500,"0801 Seabird and marine mammals combined with CPR","Final report",2541438,446432,"/Final report"
370500,"0801 Seabird and marine mammals combined with CPR","original",1028181,981280,"/Files/original"
370500,"0801 Seabird and marine mammals combined with CPR","wrong metadata",1028190,24860,"/Files/original/wrong metadata"
366942,"0802 Education and Outreach for the North Pacific Research Board","Files",366943,0,"/Files"
366942,"0802 Education and Outreach for the North Pacific Research Board","Final report",2541416,54775,"/Final report"
369454,"0803 A Continuous Plankton Recorder Survey of the North Pacific and southern Bering Sea","Files",369455,11142264,"/Files"
369454,"0803 A Continuous Plankton Recorder Survey of the North Pacific and southern Bering Sea","Final report",2541602,358028,"/Final report"
369454,"0803 A Continuous Plankton Recorder Survey of the North Pacific and southern Bering Sea","original",996326,8647308,"/Files/original"
369454,"0803 A Continuous Plankton Recorder Survey of the North Pacific and southern Bering Sea","PIs",996321,121053,"/Files/PIs"
369462,"0804 Seward Line Monitoring","Files",369463,3719253,"/Files"
369462,"0804 Seward Line Monitoring","Final report",2541603,5912743,"/Final report"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","00.data.origin",1011704,114537190893,"/Files/original/00.data.origin"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","01.metadata",1011681,154062,"/Files/original/01.metadata"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","1DBio",1002874,99282495,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Apps/1DBio"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Additional_BS_output",1000562,2878152528,"/Files/data/ModelOutput/BS/Additional_BS_output"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Additional_wind_forcing",996369,1704529472,"/Files/data/ModelInput/BS/Additional_wind_forcing"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Adjoint",1005917,3356959,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/ROMS/Adjoint"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Adjoint",1004465,3717332,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/ROMS/Adjoint"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Analysis",996750,159866615,"/Files/data/Analysis"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Analysis",1011705,152713821,"/Files/original/00.data.origin/Analysis"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Apps",1010723,2076924,"/Files/data/NPRB.2008.05.ROMS_CODE_GOA_3km/GOA3_model/GOA3/Apps"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Apps",1002786,304837690,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Apps"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Apps",1005338,1695127,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Apps"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Apps",996864,375891,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/Apps"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","arch",1007620,547950,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Atmosphere/WRF/arch"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARMAKES",1009542,79274,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Lib/ARPACK/ARMAKES"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARMAKES",1001989,79274,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Lib/ARPACK/ARMAKES"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARMAKES",998813,79274,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/Lib/ARPACK/ARMAKES"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARPACK",1009152,29389494,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Lib/ARPACK"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARPACK",1000890,29594413,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Lib/ARPACK"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","ARPACK",998423,29594413,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/Lib/ARPACK"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Atmosphere",1006998,44382152,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Atmosphere"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","bacio-1.3",1008424,37822,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Atmosphere/WRF/external/io_grib2/bacio-1.3"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","BAND",1009653,577143,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Lib/ARPACK/EXAMPLES/BAND"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","BAND",998894,577143,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/Lib/ARPACK/EXAMPLES/BAND"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","BAND",1002070,577143,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Lib/ARPACK/EXAMPLES/BAND"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bering",1005371,241303,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Apps/Bering"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bering",1003261,5126450,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Apps/Bering"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bering_10k",1005471,106385,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/Apps/Bering_10k"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bering_10k",996892,102722,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/Apps/Bering_10k"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bering_10k",1003158,206798,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/trunk/Apps/Bering_10k"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bin",1010837,23606,"/Files/data/NPRB.2008.05.ROMS_CODE_GOA_3km/GOA3_model/GOA3/ROMS/Bin"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bin",997402,105771,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_10km/BS10_model/roms_float_code/trunk/ROMS/Bin"
370004,"0805 On-shelf transport of mesozooplankton in subarctic seas","Bin",1005829,103590,"/Files/data/NPRB.2008.05.ROMS_CODE_Bering_4km/BS4_model/roms_float_code/tags/nep5_run35/ROMS/Bin"
