"p.id","p.name","name","id","bytes","path"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Admin",281461,0,"/Admin"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Data",281462,673648582,"/Data"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Media Products",281463,0,"/Media Products"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Parakeet Auklet",3318602,157033707,"/Data/Schacter/Raw tag data/Raw immersion (wet/dry) data/Parakeet Auklet"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Parakeet Auklet",3318607,370779128,"/Data/Schacter/Raw tag data/Raw geolocation data (light levels)/Parakeet Auklet"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Raw geolocation data (light levels)",3318605,469617916,"/Data/Schacter/Raw tag data/Raw geolocation data (light levels)"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Raw immersion (wet/dry) data",3318600,199527588,"/Data/Schacter/Raw tag data/Raw immersion (wet/dry) data"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Raw tag data",3318597,669145504,"/Data/Schacter/Raw tag data"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Robbins",3259995,0,"/Data/Robbins"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Schacter",3259980,673648582,"/Data/Schacter"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Whiskered Auklet",3318609,98838788,"/Data/Schacter/Raw tag data/Raw geolocation data (light levels)/Whiskered Auklet"
281460,"1212 Movement and wintering areas of Aleutian auklets (Aethia spp.)","Whiskered Auklet",3318604,42493881,"/Data/Schacter/Raw tag data/Raw immersion (wet/dry) data/Whiskered Auklet"
372261,"1226 Crowdsourcing large-scale environmental data recovery","calc_data",375304,117873,"/Files/calc_data"
372261,"1226 Crowdsourcing large-scale environmental data recovery","Files",372262,283131,"/Files"
372261,"1226 Crowdsourcing large-scale environmental data recovery","Final Report",2638328,1212234,"/Final Report"
281387,"1201 Ice mobility and shelf basin exchange in the Beaufort Sea","Admin",281388,0,"/Admin"
281387,"1201 Ice mobility and shelf basin exchange in the Beaufort Sea","Data",281389,30932,"/Data"
281387,"1201 Ice mobility and shelf basin exchange in the Beaufort Sea","Final report",2541466,2680789,"/Final report"
281387,"1201 Ice mobility and shelf basin exchange in the Beaufort Sea","Media Products",281390,0,"/Media Products"
281387,"1201 Ice mobility and shelf basin exchange in the Beaufort Sea","NetCDF Output",2797511,1734080373348,"/NetCDF Output"
281397,"1202 Skate 14C age validation","Admin",281398,0,"/Admin"
281397,"1202 Skate 14C age validation","calc_data",1816892,26476,"/Files/calc_data"
281397,"1202 Skate 14C age validation","data",1816887,27607,"/Files/data"
281397,"1202 Skate 14C age validation","Data",281399,0,"/Data"
281397,"1202 Skate 14C age validation","Files",351129,2217769,"/Files"
281397,"1202 Skate 14C age validation","Final report",2541342,1396306,"/Final report"
281397,"1202 Skate 14C age validation","Media Products",281400,0,"/Media Products"
281406,"1203 Octopus discard mortality","Admin",281407,0,"/Admin"
281406,"1203 Octopus discard mortality","Data",281408,173246,"/Data"
281406,"1203 Octopus discard mortality","Final report",2541343,881427,"/Final report"
281406,"1203 Octopus discard mortality","Media Products",281409,0,"/Media Products"
281415,"1204 Seasonal habitat use and productivity of rockfish in the GOA","Admin",281416,0,"/Admin"
281415,"1204 Seasonal habitat use and productivity of rockfish in the GOA","Data",281417,428994,"/Data"
281415,"1204 Seasonal habitat use and productivity of rockfish in the GOA","Final report",2541344,2238124,"/Final report"
281415,"1204 Seasonal habitat use and productivity of rockfish in the GOA","Media Products",281418,0,"/Media Products"
281433,"1206 Terrestrial influence on glacial-marine food webs","Admin",281434,0,"/Admin"
281433,"1206 Terrestrial influence on glacial-marine food webs","Data",281435,138290,"/Data"
281433,"1206 Terrestrial influence on glacial-marine food webs","Final report",2541346,4298854,"/Final report"
281433,"1206 Terrestrial influence on glacial-marine food webs","Media Products",281436,0,"/Media Products"
371623,"1207 Habitat characterization of Pacific Sand Lance","archive",373295,519938380,"/Files/archive"
371623,"1207 Habitat characterization of Pacific Sand Lance","data",373280,47559443,"/Files/data"
371623,"1207 Habitat characterization of Pacific Sand Lance","Files",371624,567774407,"/Files"
371623,"1207 Habitat characterization of Pacific Sand Lance","Final report",2541499,17113477,"/Final report"
371623,"1207 Habitat characterization of Pacific Sand Lance","kml",373296,48670383,"/Files/archive/kml"
281442,"1208 Developing a euphausiid time series for the central Gulf of Alaska","Admin",281443,0,"/Admin"
281442,"1208 Developing a euphausiid time series for the central Gulf of Alaska","Data",281444,22372,"/Data"
281442,"1208 Developing a euphausiid time series for the central Gulf of Alaska","Final report",2541347,5047761,"/Final report"
281442,"1208 Developing a euphausiid time series for the central Gulf of Alaska","Media Products",281445,0,"/Media Products"
370687,"1209 North Pacific sperm whale catches","4",373625,2645868,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents/Frameworks/QtCore.framework/Versions/4"
370687,"1209 North Pacific sperm whale catches","4",373620,1207308,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents/Frameworks/QtNetwork.framework/Versions/4"
370687,"1209 North Pacific sperm whale catches","4",373615,10842208,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents/Frameworks/QtGui.framework/Versions/4"
370687,"1209 North Pacific sperm whale catches","4",373602,406072,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents/Frameworks/QtXml.framework/Versions/4"
370687,"1209 North Pacific sperm whale catches","_CodeSignature",373628,776,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents/_CodeSignature"
370687,"1209 North Pacific sperm whale catches","Contents",373591,20284341,"/Files/data_original/EncryptStick lite_Mac_v5.4.14/EncryptStick lite.app/Contents"
